Title,Abstract
Urban contemporary,"Urban contemporary, also known as hip hop,[1] urban pop, or just simply urban, is a music radio format. The term was coined by New York radio DJ Frankie Crocker in the early to mid-1970s as a synonym for Black music. Urban contemporary radio stations feature a playlist made up entirely of Black genres such as R&B, pop-rap, British R&B, quiet storm, adult contemporary, hip hop, Latin music such as Latin pop, Chicano R&B and Chicano rap, and Caribbean music such as reggae. Urban contemporary was developed through the characteristics of genres such as R&B and soul.[2]
Largely a US phenomenon, virtually all urban contemporary formatted radio stations in the United States are located in cities that have sizeable African-American populations, such as New York City, Washington, D.C., Detroit, Atlanta, Miami, Chicago, Cleveland, Philadelphia, Montgomery[3], Memphis, St. Louis, Newark, New Orleans, Cincinnati, Dallas, Houston, Oakland, Los Angeles, Trenton, Flint, Baltimore, Boston, Birmingham, Savannah, and Jackson. 
Urban contemporary includes the more contemporary elements of R&B and may incorporate production elements found in urban pop, urban Euro-pop, urban rock, and urban alternative.[4]
"
Highbury & Islington station,"Highbury & Islington is a London Underground and National Rail interchange station in the London Borough of Islington, north London. It is served by the London Underground's Victoria line and the Great Northern's Northern City Line, as well as the London Overground's East and North London Lines.[5]
On the Victoria line the station is between Finsbury Park and King's Cross St Pancras. On the Northern City Line it is between Essex Road and Drayton Park, 2 miles 21 chains (3.6 km) down the line from Moorgate. On the North London Line of the Overground it is between Caledonian Road & Barnsbury and Canonbury. It is the terminus of the East London Line, with Canonbury the preceding station.
It is the 13th busiest station in the UK with over 30 million people a year using it in 2018/19 according to Office of Rail and Road statistics.
The station is in Travelcard Zone 2.[6]
"
East Grinstead,"East Grinstead is a town and civil parish in the northeastern corner of Mid Sussex District of West Sussex in England near the East Sussex, Surrey, and Kent borders. It lies 27 miles (43 km) south of London, 21 miles (34 km) north northeast of Brighton, and 38 miles (61 km) east northeast of the county town of Chichester. The civil parish covers an area of 2,443.45 hectares (6,037.9 acres) and had a population of 23,942 persons in the 2001 census. The population of the town at the 2011 Census was 26,383.[2]
Nearby towns include Crawley and Horley to the west, Tunbridge Wells to the east and Redhill and Reigate to the northwest. The town is contiguous with the village of Felbridge to the northwest. Until 1974 East Grinstead was the centre for local government – East Grinstead Urban District Council – and was located in the county of East Sussex. East Grinstead, along with Haywards Heath and Burgess Hill, as part of the former Cuckfield Rural District Council, came together as Mid-Sussex; moving to the jurisdiction of West Sussex County Council. The town has many historic buildings and is located on the Greenwich Meridian. It is located in the Weald and Ashdown Forest lies to the south-east of the town.
"
Dunstable,"Dunstable (/ˈdʌnstəbəl/ DUN-stə-bəl) is a market town and civil parish in Bedfordshire, East of England. It lies on the eastward tail spurs of the Chiltern Hills, 30 miles (50 kilometres) north of London. These geographical features form several steep chalk escarpments most noticeable when approaching Dunstable from the north. Dunstable is the largest settlement in Central Bedfordshire and third largest in Bedfordshire behind Luton and Bedford. Along with Houghton Regis and the much larger town of Luton it forms the westernmost part of the Luton/Dunstable Urban Area.
"
Historic counties of England,"The historic counties of England are areas that were established for administration by the Normans, in many cases based on earlier kingdoms and shires created by the Anglo-Saxons and others. They are alternatively known as ancient counties,[2][3] traditional counties,[4] former counties[5][6] or simply as counties.[7] In the centuries that followed their establishment, as well as their administrative function, the counties also helped define local culture and identity.[8][9] This role continued even after the counties ceased to be used for administration after the creation of administrative counties in 1889,[10] which were themselves amended by further local government reforms in the years following.[11][12]
Unlike the partly self-governing boroughs that covered urban areas, the counties of medieval England existed primarily as a means of enforcing central government power, enabling monarchs to exercise control over local areas through their chosen representatives – originally sheriffs and later the Lord-Lieutenants – and their subordinate justices of the peace.[13] Counties were used initially for the administration of justice, collection of taxes and organisation of the military, and later for local government and electing parliamentary representation.[14][15] They continue to form the basis of modern local government areas in many parts of the country away from the main urban areas, although the newly created areas sometimes have considerably altered boundaries from the historic counties on which they are based.[4][16][17]
"
List of Greater London boundary changes,"

This is a list of boundary changes occurring in the London region of England, since the re-organisation of local government following the passing of the London Government Act 1963.
"
"Methodist Central Hall, Westminster","The Methodist Central Hall (also known as Central Hall Westminster) is a multi-purpose venue and tourist attraction in the City of Westminster, London. It serves primarily as a Methodist church and a conference centre, but also as an art gallery and an office building (formerly as the headquarters of the Methodist Church of Great Britain until 2000). It contains twenty-two conference, meeting and seminar rooms, the largest being the Great Hall, which seats 2300.[2]
Central Hall occupies the corner of Tothill Street and Storeys Gate just off Victoria Street in London, near the junction with The Sanctuary next to the Queen Elizabeth II Conference Centre and facing Westminster Abbey.
"
"Banqueting House, Whitehall","The Banqueting House, Whitehall, is the grandest and best known survivor of the architectural genre of banqueting house.  It is the only remaining component of the Palace of Whitehall, the residence of English monarchs from 1530 to 1698. The building is important in the history of English architecture as the first structure to be completed in the neo-classical style, which was to transform English architecture.[1]
Begun in 1619 and designed by Inigo Jones in a style influenced by Andrea Palladio,[2] the Banqueting House was completed in 1622 at a cost of £15,618, 27 years before King Charles I of England was beheaded on a scaffold in front of it in January 1649. The building was controversially re-faced in Portland stone in the 19th century, though the details of the original façade were faithfully preserved.[3] Today, the Banqueting House is a national monument, open to the public and preserved as a Grade I listed building.[4] It is cared for by an independent charity, Historic Royal Palaces, which receives no funding from the British Government or the Crown.[5]
"
Kensington Arcade,"Kensington Arcade is a shopping centre in Kensington, London, England. It is located on Kensington High Street. The entrance to High Street Kensington tube station is within Kensington Arcade.
"
London postal district,"The London postal district is the area in England of 241 square miles (620 km2) to which mail addressed to the LONDON post town is delivered. The General Post Office at the control of the Postmaster General directed Sir Rowland Hill to devise the area in 1856 and throughout its history has been subject to gradual periodic reorganisation and division into increasingly smaller postal units, with the early loss of two compass points and a minor retraction in 1866. It was integrated by the Post Office into the national postcode system of the United Kingdom during the early 1970s and corresponds to the N, NW, SW, SE, W, WC, E and EC postcode areas. The postal district has also been known as the London postal area. The County of London was much smaller, at 117 square miles (300 km2), but Greater London is much larger at 607 square miles (1,570 km2).
"
London Bridge station,"London Bridge is a central London railway terminus and connected London Underground station in Southwark, south-east London. It occupies a large area on three levels immediately south-east of London Bridge, from which it takes its name. The main line station is the oldest railway station in London fare zone 1 and one of the oldest in the world having opened in 1836. It is one of two main line termini in London to the south of the River Thames (the other being Waterloo) and is the fourth-busiest station in London, handling over 50 million customers a year.
The station was originally opened by the London and Greenwich Railway as a local service. It subsequently served the London and Croydon Railway, the London and Brighton Railway and the South Eastern Railway, thus becoming an important London terminus. It was rebuilt in 1849 and again in 1864 to provide more services and increase capacity. Local services from London Bridge began to be electrified in the beginning of the 20th century, and had spread to national routes by the 1930s. The station was extensively rebuilt by British Rail during the 1970s, along with a comprehensive re-signalling scheme and track alignment. It was further redeveloped in the 2010s to better accommodate the Thameslink route which provides a connection to Gatwick Airport, Luton Airport and Crossrail.
London Bridge is served by Southeastern services from Charing Cross and Cannon Street to destinations in southeast London, Kent and East Sussex and is a terminus for many Southern commuter and regional services to south London and numerous destinations in South East England. Thameslink services from Bedford, Cambridge and Peterborough to Brighton and other destinations in Sussex and Kent began serving the station in 2018.
"
Vikings,"Vikings[a] were the Norse people from southern Scandinavia (in present-day Denmark, Norway and Sweden)[2][3][4] who from the late 8th to late 11th centuries raided and traded from their Northern European homelands across wide areas of Europe, and explored westward to Iceland, Greenland, and Vinland.[5][6][7] In modern English and other vernaculars, the term also commonly includes the inhabitants of Norse home communities during this period. This period of Nordic military, mercantile and demographic expansion had a profound impact on the early medieval history of Scandinavia, the British Isles, France, Estonia, Kievan Rus' and Sicily.[8]
Expert sailors and navigators aboard their characteristic longships, Vikings voyaged as far as the Mediterranean littoral, North Africa, and the Middle East. After decades of exploration around the coasts and rivers of Europe, Vikings established Norse communities and governments scattered across north-western Europe, Belarus,[9] Ukraine[10] and European Russia, the North Atlantic islands all the way to the north-eastern coast of North America. The Vikings and their descendants established themselves as rulers and nobility in many areas of Europe. The Normans, descendants of Vikings who conquered and gave their name to what is now Normandy, also formed the aristocracy of England after the Norman conquest of England. While spreading Norse culture to foreign lands, they simultaneously brought home strong foreign cultural influences to Scandinavia, profoundly changing the historical development of both. During the Viking Age the Norse homelands were gradually consolidated from smaller kingdoms into three larger kingdoms, Denmark, Norway and Sweden.
Norse civilisation during the Viking Age was technologically, militarily and culturally advanced. Yet popular, modern conceptions of the Vikings—a term frequently applied casually to their modern Skandinavian descendants—often strongly differ from the complex, advanced civilisation of the Norsemen that emerges from archaeology and historical sources. A romanticised picture of Vikings as noble savages began to emerge in the 18th century; this developed and became widely propagated during the 19th-century Viking revival.[11][12] Perceived views of the Vikings as alternatively violent, piratical heathens or as intrepid adventurers owe much to conflicting varieties of the modern Viking myth that had taken shape by the early 20th century. Current popular representations of the Vikings are typically based on cultural clichés and stereotypes, complicating modern appreciation of the Viking legacy. These representations are rarely accurate—for example, there is no evidence that they wore horned helmets, a costume element that first appeared in Wagnerian opera.
"
EasyJet,"EasyJet plc, styled as easyJet, is a British low-cost airline group headquartered at London Luton Airport.[3] It operates domestic and international scheduled services on over 1,000 routes in more than 30 countries via its affiliate airlines EasyJet UK, EasyJet Switzerland, and EasyJet Europe.[4][5] EasyJet plc is listed on the London Stock Exchange and is a constituent of the FTSE 250 Index. easyGroup Holdings Ltd (the investment vehicle of the airline's founder Stelios Haji-Ioannou and his family) is the largest shareholder with a 29.998% stake (as of June 2020).[6] It employs nearly 15,000 people, based throughout Europe but mainly in the UK.[2]
EasyJet has seen expansion since its establishment in 1995, having grown through a combination of acquisitions,[7][8] and base openings fuelled by consumer demand for low-cost air travel. The group, along with associate companies EasyJet UK, EasyJet Europe and EasyJet Switzerland, operate more than 300 aircraft. It has 29 bases across Europe, the largest being Gatwick.[9] In 2014, the airline carried more than 65 million passengers,[10] making it the second-largest budget airline in Europe by number of passengers carried, behind Ryanair.[11]
EasyJet was featured in the television series Airline broadcast on ITV which followed the airline's operations at London Luton and later at other bases. Its pilot training scheme was the subject of another ITV television series, easyJet: Inside the Cockpit, which premiered in August 2017.[12]
On 30 March 2020, due to the COVID-19 pandemic, EasyJet grounded its entire fleet of planes, with no confirmed date as to when they would restart.[13]
"
Library of Congress Control Number,"The Library of Congress Control Number (LCCN) is a serially based system of numbering cataloging records in the Library of Congress in the United States.  It has nothing to do with the contents of any book, and should not be confused with Library of Congress Classification.
"
Sutton United F.C.,"Sutton United Football Club is a professional football club in Sutton, South London, England, who play in the National League, the fifth tier of English football. They play home games at Gander Green Lane, close to West Sutton Station. The club is an FA Charter Standard Community Club affiliated to the Surrey County Football Association.[3]
Sutton started out playing in junior, local leagues, but progressed into the Athenian League in 1921; the Isthmian League in 1964; and the Conference in 1986. The team fell back into the Isthmian League in 1991. They appeared in the Conference for one more season in 1999–2000, and were founding members of the Conference South (now known as National League South) in 2004. Sutton won the National League South in 2015–16 and since 2016–17 have competed in the National League, one tier below the Football League.
The team has had several cup successes, including playing at Wembley in the FA Amateur Cup final twice and in the FA Trophy final in 1981. Sutton won the Anglo-Italian Cup in 1979, but the club is most famous for its FA Cup ""giant killing"" exploits, most notably in the 1988–89 season, when they defeated Coventry City 2–1 in the 3rd Round. The Coventry team was composed mostly of star international players and had won the competition in 1987. In the 2016–17 season, Sutton reached the 5th Round of the FA Cup for the first time in their history, beating three Football League teams (Cheltenham Town, AFC Wimbledon and Leeds United) before losing 2–0 at home to Arsenal.
"
National Grid plc,"National Grid plc is a multinational electricity and gas utility company headquartered in London, England. Its principal activities are in the United Kingdom and Northeastern United States. It has a primary listing on the London Stock Exchange, and is a constituent of the FTSE 100 Index. It has a secondary listing on the New York Stock Exchange.
National Grid is one of the largest ""investor owned"" utility companies in the world, and it provides gas to ten million customers, and electricity to ten million customers in New York, Massachusetts and Rhode Island.[3]
"
Cholera,"Cholera is an infection of the small intestine by some strains of the bacterium Vibrio cholerae.[4][3] Symptoms may range from none, to mild, to severe.[3] The classic symptom is large amounts of watery diarrhea that lasts a few days.[2] Vomiting and muscle cramps may also occur.[3] Diarrhea can be so severe that it leads within hours to severe dehydration and electrolyte imbalance.[2] This may result in sunken eyes, cold skin, decreased skin elasticity, and wrinkling of the hands and feet.[5] Dehydration can cause the skin to turn bluish.[8] Symptoms start two hours to five days after exposure.[3]
Cholera is caused by a number of types of Vibrio cholerae, with some types producing more severe disease than others.[2] It is spread mostly by unsafe water and unsafe food that has been contaminated with human feces containing the bacteria.[2] Undercooked seafood is a common source.[9] Humans are the only animal affected.[2] Risk factors for the disease include poor sanitation, not enough clean drinking water, and poverty.[2] There are concerns that rising sea levels will increase rates of disease.[2] Cholera can be diagnosed by a stool test.[2] A rapid dipstick test is available but is not as accurate.[10]
Prevention methods against cholera include improved sanitation and access to clean water.[5] Cholera vaccines that are given by mouth provide reasonable protection for about six months.[2] They have the added benefit of protecting against another type of diarrhea caused by E. coli.[2] The primary treatment is oral rehydration therapy—the replacement of fluids with slightly sweet and salty solutions.[2] Rice-based solutions are preferred.[2] Zinc supplementation is useful in children.[6] In severe cases, intravenous fluids, such as Ringer's lactate, may be required, and antibiotics may be beneficial.[2] Testing to see which antibiotic the cholera is susceptible to can help guide the choice.[3]
Cholera affects an estimated 3–5 million people worldwide and causes 28,800–130,000 deaths a year.[2][7] Although it is classified as a pandemic as of 2010[update], it is rare in the developed world.[2] Children are mostly affected.[2][11] Cholera occurs as both outbreaks and chronically in certain areas.[2] Areas with an ongoing risk of disease include Africa and Southeast Asia.[2] The risk of death among those affected is usually less than 5% but may be as high as 50%.[2] No access to treatment results in a higher death rate.[2] Descriptions of cholera are found as early as the 5th century BC in Sanskrit.[5] The study of cholera in England by John Snow between 1849 and 1854 led to significant advances in the field of epidemiology.[5][12] Seven large outbreaks have occurred over the last 200 years with millions of deaths.[13]
"
Suffix,"In linguistics, a suffix (sometimes termed postfix) is an affix which is placed after the stem of a word. Common examples are case endings, which indicate the grammatical case of nouns or adjectives, and verb endings, which form the conjugation of verbs. An inflectional suffix is sometimes called a desinence[1] or a grammatical suffix[2] or ending. Inflection changes the grammatical properties of a word within its syntactic category. Derivational suffixes can be divided into two categories: class-changing derivation and class-maintaining derivation.
Particularly in the study of Semitic languages, suffixes are called afformatives, as they can alter the form of the words. In Indo-European studies, a distinction is made between suffixes and endings (see Proto-Indo-European root). Suffixes can carry grammatical information or lexical information.
"
Wimbledon station,"Wimbledon is a National Rail, London Underground, and Tramlink station located on Wimbledon Bridge, Wimbledon in London, and is the only London station that provides an interchange between main line rail, Underground, and Tramlink. The station serves as a junction for services from the Underground's District line and National Rail operators (South Western Railway and Thameslink), as well as Tramlink services. Some weekday peak services on the Thameslink route are provided by Southern. The station is in Travelcard Zone 3. It is 7 miles 19 chains (11.6 km) from London Waterloo on the South Western main line.
The station has 11 platforms. Platforms 1–4 are for London Underground, platforms 5 and 8 are for inner suburban services, platform 9 is for Thameslink and platforms 10a and 10b are for Tramlink. Platforms 6 and 7 are adjacent to the fast tracks intended for express and outer suburban services, but most of these services only call at Wimbledon during the lawn tennis championships. Because long distance trains very rarely make scheduled stops at the station, access to these platforms is via sliding gates through safety fencing installed in March 2014.[6]
"
Upminster,"Upminster is a suburban town in East London, England, and part of the London Borough of Havering. Located 16.5 miles (26.6 km) east-northeast of Charing Cross, it is one of the locally important district centres identified in the London Plan, and comprises a number of shopping streets and a large residential area. Historically a rural village, it formed an ancient parish in the county of Essex. The town has good transport links; it was first connected to central London by rail in 1885 and has a terminal station on the London Underground network. The economic history of Upminster is characterised by a shift from farming to garden suburb. As part of the suburban growth of London in the 20th century, Upminster significantly expanded and increased in population, becoming part of Hornchurch Urban District in 1934, and has formed part of Greater London since 1965.
"
"File:Main entrance, Imperial College, London (geograph 5751173).jpg",
Santander Cycles,"
Santander Cycles (formerly Barclays Cycle Hire) is a public bicycle hire scheme in London, Swansea, Milton Keynes and Brunel University in the United Kingdom. The scheme's bicycles are popularly known as Boris Bikes, after then-Mayor of London, Boris Johnson, who introduced them during his tenure.
The operation of the scheme is contracted by Transport for London to Serco.[2] Bikes and docking stations are provided by 8D Technologies. The scheme is sponsored, with Santander UK being the main sponsor from April 2015.[3] Barclays Bank was the first sponsor, from 2010 to March 2015.[4][5][6]
Credit for developing and enacting the scheme has been a source of debate. Johnson has taken credit for the plan,[7] although the initial concept was announced by his predecessor Ken Livingstone, during the latter's term in office.[8] Livingstone said that the programme would herald a ""cycling and walking transformation in London""[9] and Johnson said that he ""hoped the bikes would become as common as black cabs and red buses in the capital"".[10]
A study showed cyclists using the scheme are three times less likely to be injured per trip than cyclists in London as a whole, possibly due to motorists giving cycle hire users more road space than they do other cyclists.[11] Moreover, recent customer research showed that 49 per cent of Cycle Hire members say that the scheme has prompted them to start cycling in London.[12]
More than 73.5 million journeys have been made using the cycles since 2010,[13] with the record for cycle hires in a single day of 73,000.[14]
In August 2007 the Mayor of London, Ken Livingstone, announced that he was planning to implement a cycle hire scheme modelled on the successful Vélib' network in Paris. Following discussions with the Mayor of Paris, Livingstone instructed transport officials to study the Paris and similar schemes, and draw up proposals for London.[16] Discussions were conducted between Transport for London (TfL), the London boroughs and transport commissioners from Lyon, Brussels, Vienna, Berlin, Munich, Oslo and Copenhagen.[17]
In February 2008, plans for the London cycle hire scheme were officially unveiled by Livingstone.[18] The CTC and Green Party hailed the proposals as revolutionary.[9]
The scheme commenced operations as Barclays Cycle Hire on 30 July 2010 with 5,000 bicycles and 315 docking stations distributed across the City of London area and parts of eight London boroughs.[19] The scheme was at first located mainly within the central zone, roughly bounded by the 'Zone 1' area of the Transport for London zoning system, and the initial target was for it to comprise 400 docking stations when complete, at roughly 330 yard (300-metre) intervals. The initial planning and implementation costs were expected to total more than £140 million over the first six years of the project, exclusive of operating costs.
Initially, the scheme required initial payment of registration and membership fees to be paid in exchange for an electronic access key, but on 3 December 2010 this was changed to allow casual cycle hires by non-members who have a valid credit or debit card.[20]
"
Crossrail,"Crossrail (to be officially named as Elizabeth line)[4] is a 73-mile (117-kilometre) new railway line under development in the United Kingdom.[5] Crossing London from west to east, at each end of its central core the line will divide into two branches: in the west to Reading and Heathrow Central; in the east to Abbey Wood and to Shenfield. In May 2015, a section of one of the eastern branches, between Liverpool Street and Shenfield, was transferred to TfL Rail; this precursor service also took control of Heathrow Connect in May 2018 and the Paddington to Reading line in December 2019.
The project was approved in 2007, and construction began in 2009 on the central section and connections to existing lines that will become part of the route. A main feature is 13 miles (21 km) of twin tunnels completed in May 2015 running from Paddington to Stratford and Canary Wharf.
New nine-carriage Class 345 trains will run at frequencies in the central section of up to 24 trains per hour in each direction. This will provide some relief for London Underground lines such as the Central, the District, the Jubilee line extension and the Heathrow branch of the Piccadilly line. Crossrail will be operated by MTR Corporation (Crossrail) Ltd as a London Rail concession of Transport for London, in a similar manner to London Overground.[2] TfL's annual revenues from the line were forecast in 2018 to be nearly £500 million per year in 2022/23 and over £1 billion per year from 2024/25.[6]
The total cost has risen from an initial budget of £14.8bn to £18.25bn. Originally planned to open in 2018, the project continues to be delayed. It is unlikely that the central section will open before late 2021. COVID-19 had caused Crossrail Ltd to temporarily pause physical works on all sites, though this has now resumed.[7]
"
Night Ferry,"The Night Ferry was an international boat train from London Victoria to Paris Gare du Nord that crossed the English Channel. It ran from 1936 until 1939 when it ceased due to the onset of World War II. It resumed in 1947, ceasing in 1980. It was operated by Compagnie Internationale des Wagons-Lits until 1977 and then British Rail.
"
Lord Mayor's Show,"The  Lord Mayor's Show is one of the best-known annual events in London as well as one of the longest-established, dating back to the 16th century.[1] A new lord mayor is appointed every year, and the public parade that takes place as his or her inauguration ceremony reflects that this was once one of the most prominent offices in England. 
The 'Lord Mayor' after whom the show is named is the Lord Mayor of the City of London, a city and ceremonial county within Greater London and the historic centre of the wider metropolis, distinct from the position of Mayor of London (a role which has existed only since 2000), namely the elected head of the Greater London Authority, currently Sadiq Khan. The City is London's main financial district, widely known informally as 'the Square Mile'.
The Lord Mayor's Show is centred on a street parade, which in its modern form is a light-hearted combination of traditional British pageantry and elements of carnival. On the day after being sworn in, the Lord Mayor and several others participate in a procession from Guildhall, via Mansion House and St Paul's Cathedral, in the heart of the City of London, to the Royal Courts of Justice on the edge of the City of Westminster, where the new Lord Mayor swears allegiance to the Crown. Until 1882, the procession went to Westminster Hall.[2]
"
Republic of Ragusa,"The Republic of Ragusa (Croatian: Dubrovačka Republika) was an aristocratic maritime republic centered on the city of Dubrovnik (Ragusa in Italian, German and Latin) in Dalmatia (today in southernmost Croatia) that carried that name from 1358 until 1808. It reached its commercial peak in the 15th and the 16th centuries, before being conquered by Napoleon's French Empire and formally annexed by the Napoleonic Kingdom of Italy in 1808. It had a population of about 30,000 people, of whom 5,000 lived within the city walls.[2] Its Latin motto was ""Non bene pro toto libertas venditur auro"", which means ""Liberty is not sold for all the gold in the world"".[3]
"
"Bow, London","Bow (/ˈboʊ/) is an area of East London within the London Borough of Tower Hamlets. It is primarily a built-up and mostly residential area and is 4.6 miles (7.4 km) east of Charing Cross.
It was in the traditional county of Middlesex but became part of the County of London following the passing of the Local Government Act 1888. ""Bow"" is an abbreviation of the medieval name Stratford-at-Bow, in which ""Bow"" refers to the bowed bridge built here in the early 12th century. Bow contains parts of both Victoria Park and the Queen Elizabeth Olympic Park. Old Ford and Fish Island are localities within Bow, but Bromley-by-Bow (historically and officially just ""Bromley"") immediately to the south, is a separate district. These distinctions have their roots in historic parish boundaries.
Bow underwent extensive urban regeneration including the replacement or improvement of council homes, with the impetus given by the staging of the 2012 Olympic Games at nearby Stratford.
"
Millennium Dome,"The Millennium Dome, also referred to simply as The Dome, is the original name of a large dome-shaped building originally used to house the Millennium Experience, a major exhibition celebrating the beginning of the third millennium. It is the ninth largest building in the world by usable volume. Located on the Greenwich Peninsula in South East London, England, the exhibition was open to the public from 1 January to 31 December 2000. The project and exhibition was highly political and attracted barely half the 12 million customers its sponsors forecast, so was deemed a failure by the press.[2] All the original exhibition elements were sold on or dismantled. 
In a 2005 report, the cost of selling the Dome and surrounding land (which increased to 170 acres from the initial offering of the 48 acres enclosed by the Dome) and managing the Dome until the deal was closed was £28.7 million. The value of the 48 acres occupied by the Dome was estimated at £48 million, which could have been realised by demolishing the structure, but it was considered preferable to preserve the Dome. The structure itself still exists, and it is now a key exterior feature of The O2. 
The Prime Meridian passes the western edge of the Dome and the nearest London Underground station is North Greenwich on the Jubilee line.
"
List of districts in the London Borough of Tower Hamlets,"A list of the Districts of London located within the London Borough of Tower Hamlets.
The borough is located east of the City of London and north of the River Thames.
"
1948 Summer Olympics,"The 1948 Summer Olympics, officially known as the Games of the XIV Olympiad, was an international multi-sport event which was held in London, United Kingdom from 29 July to 14 August 1948.
Following a twelve-year hiatus caused by the outbreak of World War II, these were the first Summer Olympics held since the 1936 Games in Berlin. The 1940 Olympic Games had been scheduled for Tokyo, and then for Helsinki; the 1944 Olympic Games had been provisionally planned for London. This was the second occasion that London had hosted the Olympic Games, having previously hosted them in 1908, forty years earlier. The Olympics would again return to London 64 years later in 2012, making London the first city to have hosted the games three times, and the only such city until Paris and Los Angeles host their third games in 2024 and 2028, respectively. The 1948 Olympic Games were the first of two summer Olympic Games held under the IOC presidency of Sigfrid Edström.
The event came to be known as the Austerity Games, because of the difficult economic climate and rationing imposed in the aftermath of World War II. No new venues were built for the games (with events taking place mainly at Empire Stadium and the Empire Pool at Wembley Park), and athletes were housed in existing accommodation at the Wembley area instead of an Olympic Village, as were the 1936 Berlin Olympic Games and the subsequent 1952 Games in Helsinki. A record 59 nations were represented by 4,104 athletes, 3,714 men and 390 women, in 19 sport disciplines. Germany and Japan were not invited to participate in the games; the Soviet Union was invited but chose not to send any athletes, sending observers instead to prepare for the 1952 Olympics.
One of the star performers at the Games was Dutch sprinter Fanny Blankers-Koen. Dubbed ""The Flying Housewife"", the thirty-year-old mother of two won four gold medals in athletics. In the decathlon, American Bob Mathias became the youngest male ever to win an Olympic gold medal at the age of seventeen. The most individual medals were won by Veikko Huhtanen of Finland who took three golds, a silver and a bronze in men's gymnastics. The United States won the most gold and overall medals, having 300 athletes compared to Britain's 404. France fielded the second largest team, with 316 athletes and finished third in the medal standings. The host nation ended up twelfth. 
"
"Diana, Princess of Wales Memorial Walk","The Diana, Princess of Wales Memorial Walk is a 7-mile (11 km) long circular walking trail in central London, England, dedicated to the memory of Diana, Princess of Wales.[1][2]
"
